clFile,indexNum,actorID,tag,actorMappingTag,name,tlkStringID
gen00fl_merrill6111279,Awakened,Awakened,cam_pc_mrl_ots_r,cam_pc_mrl_ots_r,cam_pc_mrl_ots_r,6111279
gen00fl_merrill6111279,5,7,merrill_facingmirror,gen00fl_merrill,gen00fl_merrill,6111279
dae300_vashothlead6062789,Awakened,Awakened,actor1,actor1,actor1,6062789
dae300_vashothlead6062789,6,8,actor1,PLAYER,PLAYER,6062789
vrc221_bartrand6044996,Awakened,Awakened,Unknown,Unknown,Unknown,6044996
vrc221_bartrand6044996,6,7,,gen00fl_varric,gen00fl_varric,6044996
dre000_sibling_has_blight6036484,Awakened,Awakened,Unknown,Unknown,Unknown,6036484
dre000_sibling_has_blight6036484,7,9,pc_2,PLAYER,PLAYER,6036484
dae000_hate_follower_react6167474,1,2,speaker,PLAYER,PLAYER,6167474
lgt210_magu_selby6142034,Awakened,Awakened,actor2,actor2,actor2,6142034
lgt210_magu_selby6142034,Awakened,Awakened,actor2,actor2,actor2,4288825261
lgt210_magu_selby6142034,6,9,actor2,lgt210cr_magu_selby,lgt210cr_magu_selby,6142034
dae000_gamlen6121557,Awakened,Awakened,actor2,actor2,actor2,6121557
dae000_gamlen6121557,2,4,actor2,dae300cr_gamlen,dae300cr_gamlen,6121557
one140cr_charade6137075,Awakened,Awakened,player2,player2,player2,6137075
one140cr_charade6137075,6,8,player2,PLAYER,PLAYER,6137075
gen00fl_aveline6053600,1,2,speaker,gen00fl_aveline,gen00fl_aveline,6053600
follower_banter6173161,1,2,speaker,gen00fl_varric,gen00fl_varric,6173161
dre000_dougal6129758,Awakened,Awakened,actor2,actor2,actor2,6129758
dre000_dougal6129758,3,5,actor2,dre000cr_dougal,dre000cr_dougal,6129758
lowtown_male_alienage1_sta6162788,1,2,speaker,dae010_wandering_priest_f,dae010_wandering_priest_f,6162788
zz_one_debug6099767,Awakened,Awakened,speaker,speaker,speaker,6099767
zz_one_debug6099767,2,4,speaker,PLAYER,PLAYER,6099767
mrl150_merrill6077674,Awakened,Awakened,actor1,actor1,actor1,6077674
mrl150_merrill6077674,6,8,actor1,PLAYER,PLAYER,6077674
mrl000_marethari6129450,Awakened,Awakened,marethari,marethari,marethari,6129450
mrl000_marethari6129450,2,4,marethari,dae000cr_marethari,dae000cr_marethari,6129450
gen00fl_fenris6099880,1,2,speaker,gen00fl_fenris,gen00fl_fenris,6099880
zz_ave_debug6064095,Awakened,Awakened,speaker,speaker,speaker,6064095
zz_ave_debug6064095,2,4,speaker,PLAYER,PLAYER,6064095
gen00fl_anders6136017,Awakened,Awakened,anders,anders,anders,6136017
gen00fl_anders6136017,Awakened,Awakened,player,player,player,4288831278
gen00fl_anders6136017,6,9,anders,gen00fl_anders,gen00fl_anders,6136017
qcr000_varric6208210,Awakened,Awakened,Unknown,Unknown,Unknown,6208210
qcr000_varric6208210,3,4,,dae000cr_cassandra,dae000cr_cassandra,6208210
qcr000_varric6208210,3,4,,dae000cr_cassandra,dae000cr_cassandra,6208213
rdr111dg_martin6015058,Awakened,Awakened,martin,martin,martin,6015058
rdr111dg_martin6015058,Awakened,Awakened,cam1_2_2b,cam1_2_2b,cam1_2_2b,4288952237
rdr111dg_martin6015058,8,11,martin,rdr111cr_martin,rdr111cr_martin,6015058
gen00fl_varric6076218,Awakened,Awakened,Unknown,Unknown,Unknown,6076218
gen00fl_varric6076218,3,5,player,PLAYER,PLAYER,6076218
one300_zevran6076573,Awakened,Awakened,zevran,zevran,zevran,6076573
one300_zevran6076573,Awakened,Awakened,cam_player_cu,cam_player_cu,cam_player_cu,4288890722
one300_zevran6076573,7,10,zevran,one300cr_zevran,one300cr_zevran,6076573
dae000cr_grand_cleric6182016,Awakened,Awakened,player,player,player,6182016
dae000cr_grand_cleric6182016,7,9,player,PLAYER,PLAYER,6182016
dre000_varric6208028,Awakened,Awakened,Unknown,Unknown,Unknown,6208001
dre000_varric6208028,2,4,cassandra,dae000cr_cassandra,dae000cr_cassandra,6208028
mer140_bonepit_comments6062372,1,2,speaker,gen00fl_isabela,gen00fl_isabela,6062372
mcr310_argument6182470,Awakened,Awakened,sebast_ots,sebast_ots,sebast_ots,6182470
mcr310_argument6182470,12,14,sebastian,gen00fl_sebastian,gen00fl_sebastian,6182470
zz_followers_banter6158940,1,2,speaker,gen00fl_isabela,gen00fl_isabela,6158940
gen00fl_anders6125266,Awakened,Awakened,player,player,player,6125266
gen00fl_anders6125266,6,8,player,PLAYER,PLAYER,6125266
narrative_varric6172473,Awakened,Awakened,speaker,speaker,speaker,6172473
narrative_varric6172473,2,4,speaker,gen00fl_varric,gen00fl_varric,6172473
dae000_orana6149124,1,2,speaker,fen200cr_orana,fen200cr_orana,6149124
zz_followers_banter6158643,1,2,speaker,gen00fl_merrill,gen00fl_merrill,6158643
qun111_ketojan6059226,Awakened,Awakened,gen00fl_anders,gen00fl_anders,gen00fl_anders,6059226
qun111_ketojan6059226,Awakened,Awakened,pc,pc,pc,4288908069
qun111_ketojan6059226,Hench,Hench,gen00fl_anders,gen00fl_anders,gen00fl_anders,6059226
dae000_merchant_hm_mob6174228,1,2,speaker,dae000cr_merchant_wandering,dae000cr_merchant_wandering,6174228
dae000_denier6162503,Awakened,Awakened,speaker,speaker,speaker,6162503
dae000_denier6162503,2,4,speaker,dae000cr_denier,dae000cr_denier,6162503
dae300_alistair_king6134916,Awakened,Awakened,actor2_alistairb,actor2_alistairb,actor2_alistairb,6134916
dae300_alistair_king6134916,5,7,actor2_alistairb,lgt321cr_alistair_king,lgt321cr_alistair_king,6134916
mcr310_argument6074381,Awakened,Awakened,meredith_3,meredith_3,meredith_3,6074381
mcr310_argument6074381,Awakened,Awakened,player,player,player,4288892914
mcr310_argument6074381,3,6,meredith_3,dae300cr_meredith,dae300cr_meredith,6074381
zz_mrl_debug6086556,Awakened,Awakened,speaker,speaker,speaker,6086556
zz_mrl_debug6086556,2,4,speaker,PLAYER,PLAYER,6086556
gen00fl_sebastian6195876,Awakened,Awakened,actor2,actor2,actor2,6195876
gen00fl_sebastian6195876,2,4,actor2,gen00fl_sebastian,gen00fl_sebastian,6195876
and100_anders6206343,Awakened,Awakened,gen00fl_carver,gen00fl_carver,gen00fl_carver,6206343
and100_anders6206343,Hench,Hench,gen00fl_carver,gen00fl_carver,gen00fl_carver,6206343
gen00fl_aveline6132640,Awakened,Awakened,aveline_3,aveline_3,aveline_3,6132640
gen00fl_aveline6132640,5,5,bran,dae200cr_bran,dae200cr_bran,6132643
gen00fl_aveline6132640,6,6,aveline_3,gen00fl_aveline,gen00fl_aveline,6132640
qun211_braggart6075442,1,2,speaker,qun211cr_braggart,qun211cr_braggart,6075442
nat380_nathaniel6071039,Awakened,Awakened,nat3,nat3,nat3,6071039
nat380_nathaniel6071039,5,7,nat3,nat380cr_nathaniel,nat380cr_nathaniel,6071039
follower_barks6173419,1,2,speaker,gen00fl_sebastian,gen00fl_sebastian,6173419
gen00fl_isabela6100042,Awakened,Awakened,a_actor1_player,a_actor1_player,a_actor1_player,6100042
gen00fl_isabela6100042,2,4,a_actor2_isabela,gen00fl_isabela,gen00fl_isabela,6100042
follower_banter6165475,1,2,speaker,gen00fl_merrill,gen00fl_merrill,6165475
one220_yevhen6121663,Awakened,Awakened,yevhen,yevhen,yevhen,6121663
one220_yevhen6121663,Awakened,Awakened,player,player,player,4288845632
one220_yevhen6121663,7,10,yevhen,one220cr_yevhen,one220cr_yevhen,6121663
gen00fl_isabela6088872,Awakened,Awakened,d_cam2_1_2_alt,d_cam2_1_2_alt,d_cam2_1_2_alt,6088872
gen00fl_isabela6088872,7,9,d_actor2_isabela,gen00fl_isabela,gen00fl_isabela,6088872
gen00fl_aveline6139177,Awakened,Awakened,ave_guard,ave_guard,ave_guard,6139177
gen00fl_aveline6139177,3,5,actor1,gen00fl_aveline,gen00fl_aveline,6139177
gen00fl_dog6114925,Awakened,Awakened,cam2_1_2,cam2_1_2,cam2_1_2,6114925
gen00fl_dog6114925,3,5,actor3,dae200cr_sandal,dae200cr_sandal,6114925
zz_one_debug6215793,Awakened,Awakened,speaker,speaker,speaker,6215793
zz_one_debug6215793,2,4,speaker,PLAYER,PLAYER,6215793
mag100_karras6034715,Awakened,Awakened,b_cam4_1_2,b_cam4_1_2,b_cam4_1_2,6034715
mag100_karras6034715,9,11,b_actor1_player,PLAYER,PLAYER,6034715
zz_fol_debug6103802,Awakened,Awakened,speaker,speaker,speaker,6103802
zz_fol_debug6103802,2,4,speaker,PLAYER,PLAYER,6103802
one110_pryce6088868,Awakened,Awakened,pryce,pryce,pryce,6088868
one110_pryce6088868,5,7,pryce,one110cr_pryce,one110cr_pryce,6088868
lgt220_shp_mag_guard6149875,Awakened,Awakened,actor2,actor2,actor2,6149875
lgt220_shp_mag_guard6149875,Awakened,Awakened,actor1,actor1,actor1,4288817420
lgt220_shp_mag_guard6149875,6,9,actor2,lgt220cr_shp_mag_guard,lgt220cr_shp_mag_guard,6149875
zz_fol_debug6098092,Awakened,Awakened,speaker,speaker,speaker,6098092
zz_fol_debug6098092,2,4,speaker,PLAYER,PLAYER,6098092
zz_followers_banter6158703,1,2,speaker,gen00fl_fenris,gen00fl_fenris,6158703
mag210_arianni6024553,Awakened,Awakened,actor2,actor2,actor2,6024553
mag210_arianni6024553,5,7,actor2,mag210cr_arianni,mag210cr_arianni,6024553
dae000_arishok6070888,Awakened,Awakened,arishok_sitting_wide,arishok_sitting_wide,arishok_sitting_wide,6070888
dae000_arishok6070888,Awakened,Awakened,arishok_sitting,arishok_sitting,arishok_sitting,4288896407
dae000_arishok6070888,3,6,arishok_sitting,dae000cr_arishok,dae000cr_arishok,6070888
mcr370_negotiation6078753,Awakened,Awakened,cam_player_meredith_ots,cam_player_meredith_ots,cam_player_meredith_ots,6078753
mcr370_negotiation6078753,Awakened,Awakened,cam_playermeredith_cu,cam_playermeredith_cu,cam_playermeredith_cu,4288888542
mcr370_negotiation6078753,3,6,meredith,dae300cr_meredith,dae300cr_meredith,6078753
rdr111dg_martin6054511,Awakened,Awakened,cam1_2_2,cam1_2_2,cam1_2_2,6054511
rdr111dg_martin6054511,5,7,isabella,gen00fl_isabela,gen00fl_isabela,6054511
one300_zevran6089714,Awakened,Awakened,zevran,zevran,zevran,6089714
one300_zevran6089714,6,8,zevran,one300cr_zevran,one300cr_zevran,6089714
dae100_alistair_drunk6135098,Awakened,Awakened,cam2_1_2,cam2_1_2,cam2_1_2,6135098
dae100_alistair_drunk6135098,6,8,alistair,lgt111cr_alistair_drunk,lgt111cr_alistair_drunk,6135098
dae000_paivel6111929,1,2,speaker,dae000cr_paivel,dae000cr_paivel,6111929
gen00fl_merrill6115980,Awakened,Awakened,cam2_1_2_m,cam2_1_2_m,cam2_1_2_m,6115980
gen00fl_merrill6115980,5,7,actor2,gen00fl_merrill,gen00fl_merrill,6115980
dae000cr_grand_cleric6187930,Awakened,Awakened,grandcleric,grandcleric,grandcleric,6187930
dae000cr_grand_cleric6187930,2,4,grandcleric,dae000cr_grand_cleric,dae000cr_grand_cleric,6187930
gen00fl_anders6125326,Awakened,Awakened,Unknown,Unknown,Unknown,6125326
gen00fl_anders6125326,6,8,player,PLAYER,PLAYER,6125326
gen00fl_sebastian6179860,Awakened,Awakened,vaela,vaela,vaela,6179860
gen00fl_sebastian6179860,3,5,vaela,gen00fl_sebastian,gen00fl_sebastian,6179860
dae000_orana6149064,Awakened,Awakened,orana,orana,orana,6149064
dae000_orana6149064,2,4,orana,fen200cr_orana,fen200cr_orana,6149064
gen00fl_varric6107300,Awakened,Awakened,varric,varric,varric,6107300
gen00fl_varric6107300,2,4,varric,gen00fl_varric,gen00fl_varric,6107300
isa120_hayder6066911,Awakened,Awakened,a_actor1_player,a_actor1_player,a_actor1_player,6066911
isa120_hayder6066911,Awakened,Awakened,a_cam1_2_1_alt,a_cam1_2_1_alt,a_cam1_2_1_alt,4288900384
isa120_hayder6066911,9,12,a_actor1_player,PLAYER,PLAYER,6066911
gen00fl_sebastian6180148,Awakened,Awakened,Unknown,Unknown,Unknown,6180148
gen00fl_sebastian6180148,7,9,playera,PLAYER,PLAYER,6180148
and121_karl6093990,Awakened,Awakened,karl,karl,karl,6093990
and121_karl6093990,Awakened,Awakened,player,player,player,4288873305
and121_karl6093990,3,6,karl,and121cr_karl,and121cr_karl,6093990
qun110_petrice6036422,Awakened,Awakened,petrice_pc_ots,petrice_pc_ots,petrice_pc_ots,6036422
qun110_petrice6036422,Awakened,Awakened,ketojan_petrice_ots,ketojan_petrice_ots,ketojan_petrice_ots,4288930873
qun110_petrice6036422,7,10,petrice,qun110cr_petrice,qun110cr_petrice,6036422
gen00fl_merrill6106971,Awakened,Awakened,cam_mrl_pc_ots_close,cam_mrl_pc_ots_close,cam_mrl_pc_ots_close,6106971
gen00fl_merrill6106971,5,7,merrill,gen00fl_merrill,gen00fl_merrill,6106971
mcr370_meredith6085906,Awakened,Awakened,Unknown,Unknown,Unknown,6085906
mcr370_meredith6085906,12,14,player,PLAYER,PLAYER,6085906
gen00fl_aveline6114862,Awakened,Awakened,actor2,actor2,actor2,6114862
gen00fl_aveline6114862,Awakened,Awakened,actor1,actor1,actor1,4288852433
gen00fl_aveline6114862,6,9,actor2,gen00fl_aveline,gen00fl_aveline,6114862
gen00fl_anders6125237,Awakened,Awakened,speaker,speaker,speaker,6125237
gen00fl_anders6125237,2,4,speaker,gen00fl_justice,gen00fl_justice,6125237
dae100_viscount6086789,1,2,speaker,dae100cr_viscount,dae100cr_viscount,6086789
qun221_petrice6075963,Awakened,Awakened,Unknown,Unknown,Unknown,6075961
qun221_petrice6075963,Awakened,Awakened,Unknown,Unknown,Unknown,6075961
qun221_petrice6075963,6,7,,PLAYER,PLAYER,6075966
qun221_petrice6075963,7,9,,gen00fl_anders,gen00fl_anders,6075963
qun221_petrice6075963,8,11,,PLAYER,PLAYER,6075969
qun221_petrice6075963,9,12,,PLAYER,PLAYER,6075972
dre000_dougal6129709,Awakened,Awakened,gen00fl_varric,gen00fl_varric,gen00fl_varric,6129709
dre000_dougal6129709,Hench,Hench,gen00fl_varric,gen00fl_varric,gen00fl_varric,6129709
follower_banter6171035,1,2,speaker,gen00fl_sebastian,gen00fl_sebastian,6171035
zz_fen_debug6134352,Awakened,Awakened,speaker,speaker,speaker,6134352
zz_fen_debug6134352,2,4,speaker,PLAYER,PLAYER,6134352
mrl000_marethari6129401,Awakened,Awakened,player,player,player,6129401
mrl000_marethari6129401,Awakened,Awakened,merrill,merrill,merrill,4288837894
