"trope","word","loglikelihood","totalTropeDialogue"
"Loan Shark","X.",23.432254651381,127
"Kid Samurai","sing",23.4218538309739,69
"Dare to Be Badass","hath",23.3968003573373,147
"Weapons of Their Trade","X.",23.370762031352,128
"Renaissance Man","X.",23.3097577109626,129
"Affably Evil","ha",23.1664834453354,593
"Intrepid Merchant","X.",23.1295999955332,132
"Drives Like Crazy","yup",23.0768022759771,92
"We Used to Be Friends","we",22.976446196907,300
"Evil Mentor","release",22.9129161382798,7
"Title Drop","release",22.9129161382798,7
"I Just Want to Have Friends","always",22.8988187691167,51
"Big Brother Worship","many",22.8322655618803,124
"Dark Messiah","armor",22.7850137239206,122
"Reasonable Authority Figure","convince",22.768972090347,1651
"Goofy Suit","ninja",22.7436321608761,100
"Bunny-Ears Lawyer","mammet",22.5696992130805,477
"Bunny-Ears Lawyer","heart",22.5294384316819,477
"Bumbling Sidekick","ancestor",22.4532803153753,14
"Cute Witch","ancestor",22.4532803153753,14
"Pistol-Whipping","nothing",22.4367266865193,10
"Those Two Guys","sin",22.4115617052014,119
"Brother–Sister Incest","their",22.3852801891767,192
"Leave Me Alone!","their",22.3852801891767,192
"Self-Restraint","their",22.3852801891767,192
"Transforming Mecha","release",22.3794696367336,8
"False Flag Operation","abandon",22.3733482953227,493
"Sympathy for the Devil","abandon",22.2657055672894,502
"Berserk Button","ha",22.2084293179278,909
"I'm a Doctor, Not a Placeholder","ancestor",22.1776873342499,15
"Promotion to Parent","swell",22.1618884636534,80
"The Bad Guy Wins","be",22.1167548884652,568
"You Fool!","armor",22.0952679091996,137
"The Load","hey",22.0830234416027,93
"Keet","yup",22.0152367700567,120
"Physical God","man",21.9744707510558,289
"Court Mage","dead",21.9162646869339,13
"Status-Buff Dispel","release",21.90901656495,9
"Brief Accent Imitation","go",21.7472919054913,4
"Monster Compendium","go",21.7472919054913,4
"Plotline Death","swell",21.6914244017989,90
"Offscreen Teleportation","X.",21.6746090444301,159
"What Happened to the Mouse?","hey",21.654275648143,335
"Villain: Exit, Stage Left","hey",21.5926631015048,101
"Did You Just Punch Out Cthulhu?","goodly",21.55864102409,110
"Did You Just Punch Out Cthulhu?","gobbietreat",21.55864102409,110
"The Bad Guy Wins","abandon",21.5312000681916,568
"Genki Girl","heart",21.4938160654691,243
"The Scrooge","X.",21.4808527217828,163
"Motor Mouth","yup",21.3995249367061,140
"Crusading Widower","machine",21.3888726945128,13
"Everything's Better with Samurai","machine",21.3888726945128,13
"Flowery Elizabethan English","machine",21.3888726945128,13
"Hopeless with Tech","machine",21.3888726945128,13
"Jidaigeki","machine",21.3888726945128,13
"Possession Equals Mastery","machine",21.3888726945128,13
"Required Secondary Powers","machine",21.3888726945128,13
"Single-Stroke Battle","machine",21.3888726945128,13
"The Strength of Ten Men","machine",21.3888726945128,13
"Walking Techbane","machine",21.3888726945128,13
"Watching Troy Burn","machine",21.3888726945128,13
"Unholy Matrimony","bloody",21.3575584012361,31
"It Will Never Catch On","she",21.2811895886849,105
"Know-Nothing Know-It-All","she",21.2811895886849,105
"Mister Big","she",21.2811895886849,105
"Recurring Character","she",21.2811895886849,105
"Sympathy for the Devil","our",21.2803287807343,502
"And the Adventure Continues","feel",21.236273568134,61
"Classy Cat-Burglar","feel",21.236273568134,61
"Fall Guy","feel",21.236273568134,61
"Honey Trap","feel",21.236273568134,61
"Staged Shooting","feel",21.236273568134,61
"Turn Out Like Her Grandmother:","feel",21.236273568134,61
"Implied Love Interest","she",21.1627731263803,15
"[Verb] This!","she",21.1627731263803,15
"War for Fun and Profit","she",21.1627731263803,15
"Interservice Rivalry","nothing",21.0929751641601,14
"Big Brother Worship","sing",21.0802157218414,124
"Petal Power","hair",21.0375182501887,17
"Uncertain Doom","ninja",20.9673833426292,156
"Body to Jewel","sky",20.9619022504325,65
"The Cassandra","sky",20.9619022504325,65
"Feminine Women Can Cook","sky",20.9619022504325,65
"The Informant","cooperation",20.95458217242,38
"The Lost Lenore","way",20.8864602830574,483
"Mirror Self","X.",20.8832706680614,176
"Can't Hold His Liquor","o",20.8778816528367,94
"Body Double","and",20.8554685545369,390
"Visionary Villain","release",20.7603254990079,12
"Guilt-Free Extermination War","honor",20.7226389215444,10
"Shoot the Medic First","and",20.7108201740607,392
"Only Known by Their Nickname","ninja",20.6953221522114,167
"Parental Marriage Veto","sky",20.6942860543608,68
"The Teetotaler","o",20.6915558014068,97
"Animalistic Abomination","trust",20.6641527654941,18
"Cute Clumsy Girl","ancestor",20.6483678884791,22
"Character Witness","hold",20.6064746859559,13
"The Greatest Story Never Told","hold",20.6064746859559,13
"Majorly Awesome","hold",20.6064746859559,13
"Sticky Bomb","hold",20.6064746859559,13
"The Archmage","PROPN",20.5451748490249,257
"Token Non-Human","goodly",20.5110214006062,143
"Token Non-Human","gobbietreat",20.5110214006062,143
"Epic Fail","ya",20.4564532715608,59
"Genius Ditz","heart",20.446581522535,278
"Brother–Sister Incest","man",20.4420179776278,192
"Leave Me Alone!","man",20.4420179776278,192
"Self-Restraint","man",20.4420179776278,192
"President Evil","release",20.4408337467153,13
"Sealed Good in a Can","their",20.4146537899403,224
"Theme Naming","X.",20.4120565618434,187
"Baby Don't Got Back","collect",20.3479407000859,126
"Record Producer","please",20.3367288283566,58
"Body Double","they",20.3311413830853,390
"Battle in the Center of the Mind","machine",20.3179541901059,17
"All-Powerful Bystander","suleyk",20.2795662687613,37
"Shoot the Medic First","they",20.2447421034155,392
"Arson, Murder, and Jaywalking","bloody",20.2414455845506,41
"No-Respect Guy","crime",20.2231977903688,130
"No-Respect Guy","lookout",20.2231977903688,130
"Verbal Tic","yup",20.2224651045335,188
"Animal Stampede","hair",20.1940630969925,21
"Energy Beings","attain",20.1918424329807,37
"Comically Missing the Point","collect",20.1321395294818,133
"Leaning on the Fourth Wall","X.",20.1268313601751,194
"A-Cup Angst","collect",20.1022436596631,134
"History Repeats","sylphs",20.0716856681996,117
"History Repeats","spire",20.0716856681996,117
"History Repeats","unless",20.0716856681996,117
"Blinded by the Light","and",20.0029934631653,402
"Cute Bookworm","ancestor",19.9816656091475,26
"Character Witness","line",19.9816327624984,13
"The Greatest Story Never Told","line",19.9816327624984,13
"Majorly Awesome","line",19.9816327624984,13
"Sticky Bomb","line",19.9816327624984,13
"As Long as There Is Evil","as",19.8685237907313,33
"The Dreaded","I",19.8624721446837,329
"""Friends"" Rent Control","marlene",19.8423589089697,1
"Blinded by the Light","they",19.8204521243701,402
"Final Boss","our",19.7890934103757,765
"Final Boss","abandon",19.7644473727597,765
"Everyone Loves Blondes","she",19.7618963312618,19
"Blood Knight","honor",19.7591090994438,655
"Religious and Mythological Theme Naming","man",19.7397672738733,353
"Compassionate Critic","furnace",19.7176204523232,71
"Flying Seafood Special","lake",19.7112472459578,64
"Flying Seafood Special","pleasant",19.7112472459578,64
"Flying Seafood Special","neighbor",19.7112472459578,64
"Not Too Dead to Save the Day","he",19.7034963157405,122
"Big Friendly Dog","trust",19.6859729646033,23
"Evil Old Folks","armor",19.6755616568681,206
"Lantern Jaw of Justice","machine",19.6694815692093,20
"Human Pincushion","exciting",19.663778684749,67
"Musical Spoiler","faith",19.6612837946254,27
"Youngest Child Wins","faith",19.6612837946254,27
"Infinite Supplies","o",19.6320326780457,116
"New Tech Is Not Cheap","o",19.6320326780457,116
"Nouveau Riche","o",19.6320326780457,116
"Unlimited Wardrobe","o",19.6320326780457,116
"The Hedonist","she",19.6247361831734,125
"Barefisted Monk","suleyk",19.5881939119264,44
"Enlightened Self-Interest","X.",19.5869347799765,208
"Quest Giver","ninja",19.5770524165616,221
"You Are Worth Hell","sky",19.5138211058111,83
"Squee","he",19.5122693502212,73
"Cute Bruiser","hair",19.4984307897159,25
"Sympathy for the Devil","they",19.4927568203978,502
"Only One Name","reunion",19.4732860510126,292
"But Thou Must!","X.",19.4395615700842,212
"My Greatest Second Chance","their",19.386164315638,243
"I Let You Win","o",19.3824496594387,121
"Blue-and-Orange Morality","hath",19.3537513419196,247
"Ghostly Goals","son",19.3535473412897,187
"With Great Power Comes Great Insanity","history",19.2943852479784,111
"No-Respect Guy","she",19.2542999257193,130
"The Bus Came Back","thou",19.2450962571501,501
"Famous Ancestor","feel",19.2302114110269,79
"Girlish Pigtails","collect",19.2238326783965,167
"Mr. Exposition","southwest",19.2151790926478,738
"Mr. Exposition","foothill",19.2151790926478,738
"Mr. Exposition","south",19.2151790926478,738
"Flying Seafood Special","fulfil",19.211855566091,64
"Sleeves Are for Wimps","sylphs",19.1609896489388,147
"Sleeves Are for Wimps","spire",19.1609896489388,147
"Sleeves Are for Wimps","unless",19.1609896489388,147
"Loan Shark","o",19.0964134107682,127
"You're Insane!","furnace",19.0947145006255,83
"Hulk Speak","summoner",19.0891607561956,68
"Dead All Along","armor",19.0755668036192,228
"Weapons of Their Trade","o",19.0500781858052,128
"Pintsized Powerhouse","hair",19.0464519924785,28
"Renaissance Man","o",19.0041091849712,129
"Superior Successor","faith",18.983663747763,32
"Sealed Good in a Can","man",18.9835597850101,224
"Edible Theme Naming","hunt",18.9474747684176,25
"Ye Olde Butcherede Englishe","machine",18.9423328256475,24
"Fire-Breathing Weapon","us",18.9234180574085,26
"Ray Gun","us",18.9234180574085,26
"Fishing Minigame","movin",18.9195449484739,28
"Fishing Minigame","betcha",18.9195449484739,28
"Fishing Minigame","whopper",18.9195449484739,28
"Fishing Minigame","waitin",18.9195449484739,28
"Fishing Minigame","catch",18.9195449484739,28
"Bribe Backfire","PROPN",18.9102139470068,35
"Hold the Line","hold",18.8879018035731,20
"Body Double","we",18.8857761221024,390
"Everyone Can See It","X.",18.8775366936396,228
"Intrepid Merchant","o",18.868343613169,132
"Secret-Keeper","handle",18.8333959085529,171
"Cheerful Child","sing",18.8285962856365,218
"Knight Templar","armor",18.8220266720518,238
"The Atoner","ship",18.8171865244589,1165
"Lady of War","temple",18.7848097581126,202
"You Are Not Ready","suleyk",18.7714656453781,54
"Religious and Mythological Theme Naming","their",18.7645352534791,353
"Shoot the Medic First","we",18.7553474078864,392
"False Flag Operation","and",18.7450468000755,493
"Adorably Precocious Child","faith",18.7419557083249,34
"Kamehame Hadoken","king",18.7203244159074,97
"Agent Peacock","power",18.6936233223795,39
"Guilt Complex","their",18.6839927922608,257
"Con Man","cooperation",18.6329081820127,68
"Would Hit a Girl","no",18.5348637217403,28
"White Void Room","vaan",18.5330970621025,1
"Deal with the Devil","their",18.5300000974213,359
"Ultimate Blacksmith","X.",18.5143781740432,239
"Brother–Sister Incest","they",18.5038742224755,192
"Leave Me Alone!","they",18.5038742224755,192
"Self-Restraint","they",18.5038742224755,192
"Arbitrary Skepticism","trust",18.4956971272301,31
"Taken for Granite","trust",18.4956971272301,31
"Made of Iron","hey",18.4751101592386,171
"Non-Standard Character Design","furnace",18.4323783128785,98
"Powers as Programs","X..1",18.4215640408227,158
"Chekhov's Gunman","reunion",18.3912032089717,383
"Cool Old Guy","PROPN",18.378693853405,988
"The Nicknamer","bloody",18.3426817348897,66
"My Friends... and Zoidberg","feed",18.3426817348897,66
"Glamour Failure","three",18.3314940212793,118
"Kill and Replace","three",18.3314940212793,118
"Revealing Cover Up","three",18.3314940212793,118
"She's Not My Girlfriend","wall",18.298676315172,161
"Item Caddy","faith",18.2986340767396,38
"Chromatic Arrangement","we",18.2744714169599,58
"I Fight for the Strongest Side!","PROPN",18.2663620784938,74
"I Know Your True Name","PROPN",18.2663620784938,74
"Hold the Line","line",18.2638391590879,20
"Nerf","X..1",18.2378906125382,163
"My Greatest Second Chance","man",18.2187194813971,243
"Rōnin","machine",18.1880367150746,29
"Gossipy Hens","wall",18.1767881062108,166
"Epic Flail","X..1",18.166022018031,165
"Aura Vision","reason",18.1570076214191,21
"Cheery Pink","reason",18.1570076214191,21
"Excellent Judge of Character","reason",18.1570076214191,21
"Forgotten First Meeting","reason",18.1570076214191,21
"Have We Met?","reason",18.1570076214191,21
"Refusal of the Call","reason",18.1570076214191,21
"The Trickster","reason",18.1570076214191,21
"Tulpa","reason",18.1570076214191,21
"Last Words","the",18.143338149551,52
"Spotting the Thread","three",18.133841219222,124
"Blinded by the Light","we",18.1170774886511,402
"Armored But Frail","PROPN",18.1030118797483,24
"Early-Installment Weirdness","three",18.1018350273766,125
"Cloudcuckoolander","ninja",18.0267927177798,326
"Legacy Character","swell",18.0176108313261,226
"Minor Major Character","summoner",18.0163872825975,89
"Making a Splash","PROPN",18.0096833271984,230
"Master of Unlocking","PROPN",17.9859825412717,92
"Hates Small Talk","flame",17.9852374811548,80
"Poirot Speak","PROPN",17.9705292387156,110
"Deal with the Devil","they",17.9515377380203,359
"The Smart Guy","go",17.9376811972878,108
"Dumb Muscle","ya",17.9360092853003,111
"Crouching Moron, Hidden Badass","crime",17.9132023509566,232
"Crouching Moron, Hidden Badass","lookout",17.9132023509566,232
"Power Echoes","suleyk",17.9118156552442,67
"Genki Guy","she",17.9104992239603,26
"Artificial Stupidity","trust",17.8998803061702,36
"""Not So Different"" Remark","their",17.8992783192669,613
"Abnormal Ammo","us",17.8864433907484,31
"Villain Respect","sylphs",17.8546838773189,204
"Villain Respect","spire",17.8546838773189,204
"Villain Respect","unless",17.8546838773189,204
"The Dividual","suleyk",17.8528002631204,68
"Cool Teacher","X.",17.8374943262353,261
"Why Don't You Just Shoot Him?","feel",17.8103637275708,95
"Mage Marksman","let",17.8087837588258,115
"Only in It for the Money","X.",17.8081548219261,262
"The Cutie","sky",17.7986792187638,111
"Retired Badass","convince",17.7873641144931,1069
"Number Two","councilor",17.7735713339493,628
"Offscreen Teleportation","o",17.7712745894806,159
"Genki Girl","collect",17.7286412652076,243
"Nature Hero","hair",17.725922005396,39
"You Cannot Fight Fate","hath",17.7089368228739,107
"Serial Killer","three",17.7076677012577,138
"Mad Scientist's Beautiful Daughter","ancestor",17.7070567247283,46
"Guilt Complex","man",17.6949110806876,257
"Dirty Coward","armor",17.6775440200383,289
"Camera Fiend","no",17.6719328638228,11
"Crucified Hero Shot","no",17.6719328638228,11
"Designer Baby","no",17.6719328638228,11
"Elite Mook","no",17.6719328638228,11
"Embarrassing Tattoo","no",17.6719328638228,11
"Emergency Weapon","no",17.6719328638228,11
"Formerly Fat","no",17.6719328638228,11
"Friendless Background","no",17.6719328638228,11
"Gravity Sucks","no",17.6719328638228,11
"Innocent Blue Eyes","no",17.6719328638228,11
"Morally Superior Copy","no",17.6719328638228,11
"My Future Self and Me","no",17.6719328638228,11
"Scannable Man","no",17.6719328638228,11
"Steel Ear Drums","no",17.6719328638228,11
"Weakened by the Light","no",17.6719328638228,11
"The Artful Dodger","slave",17.6452011242785,3
"Badass Longrobe","suleyk",17.625146418646,72
"The Scrooge","o",17.6250942272318,163
"Drives Like Crazy","please",17.6125693829656,92
"The Anti-Nihilist","hath",17.6000050731913,109
"Her Heart Will Go On","feel",17.5750385299965,195
"Rose-Haired Sweetie","sun",17.5642609718778,94
"Stout Strength","nothing",17.5544498617197,34
"Right for the Wrong Reasons","oh",17.552375881157,194
"Corrupt Corporate Executive","X.",17.5492398468295,271
"Murder the Hypotenuse","then",17.5354508442533,98
"Exact Words","X.",17.4929226600839,273
"No Man of Woman Born","other",17.4798347841982,57
"Old Retainer","work",17.4780999813951,312
"Spiky Hair","she",17.474579570589,28
"Talking Animal","worry",17.407493108045,59
"The Migration","apprentice",17.3953483364644,15
"Enemy Without","then",17.3808109018569,100
"Secret Character","X..1",17.3668498657459,189
"The Creon","he",17.3633522696201,151
"Oh, No... Not Again!","wall",17.3361743352555,205
"Throw Down the Bomblet","nothing",17.3268849868369,36
"Identical Stranger","three",17.3228753855913,152
"Fantasy Counterpart Culture","suleyk",17.3064453247354,78
"Posthumous Character","son",17.3026357220374,747
"Sealed Evil in a Can","darkness",17.2894322171186,47
"Physical God","their",17.2286014062493,289
"Grumpy Old Man","exciting",17.2103086338822,124
"Genius Ditz","collect",17.1927420093966,278
"Status-Buff Dispel","last",17.1858821491391,9
"Continuity Nod","X..1",17.1832440416678,195
"The Brute","exciting",17.1783358497486,125
"Mirror Self","o",17.1741024796962,176
"Arbitrary Skepticism","hold",17.1420460595595,31
"Make an Example of Them","thou",17.1367315271295,111
"You Cannot Fight Fate","thy",17.115150402074,107
"Cultured Warrior","machine",17.1116848881822,38
"Token Heroic Orc","summoner",17.1010350152137,112
"Hyperspace Arsenal","faith",17.0495371609222,52
"Legacy of the Chosen","hath",17.0351460801547,120
"The World Is Just Awesome","hath",17.0351460801547,120
"Locked Out of the Loop","X.",17.0309563668897,290
"The Anti-Nihilist","thy",17.0064524956329,109
"Adopt-a-Servant","excellent",16.9965443806481,6
"Adopt-a-Servant","immediately",16.9965443806481,6
"Kindly Housekeeper","excellent",16.9965443806481,6
"Kindly Housekeeper","immediately",16.9965443806481,6
"Sleeping with the Boss","excellent",16.9965443806481,6
"Sleeping with the Boss","immediately",16.9965443806481,6
"Square-Cube Law","shiny",16.9965443806481,6
"You Dirty Rat!","shiny",16.9965443806481,6
"Let Us Never Speak of This Again","ancestor",16.9956964545012,55
"Fat Bastard","hey",16.9925247638784,220
"Heroic Resolve","hath",16.9864445697024,121
"Ridiculously Cute Critter","hair",16.9831408639918,47
"The Insomniac","X..1",16.9821243927949,32
"Turtle Island","X..1",16.9821243927949,32
"Attack Its Weak Point","X..1",16.9821243927949,32
"Beef Gate","X..1",16.9821243927949,32
"Creation Myth","X..1",16.9821243927949,32
"Home Field Advantage","X..1",16.9821243927949,32
"Magic Eater","X..1",16.9821243927949,32
"More Teeth than the Osmond Family","X..1",16.9821243927949,32
"Swallowed Whole","X..1",16.9821243927949,32
"Weather Manipulation","X..1",16.9821243927949,32
"Only Sane Woman","furnace",16.9553096544327,142
"Sympathy for the Devil","we",16.9484864779563,502
"Convenient Coma","yeah",16.9385434455275,14
"Awesomeness by Analysis","hath",16.9381528843572,122
"Rejected Apology","ritual",16.9225930454804,19
"Rejected Apology","deny",16.9225930454804,19
"Rejected Apology","summoning",16.9225930454804,19
"Technical Pacifist","suleyk",16.9178511337092,86
"Bait the Dog","she",16.9108201937894,167
"When All You Have Is a Hammer…","exciting",16.9016347425853,134
"Bound and Gagged","yes",16.8872122607386,13
"Cradling Your Kill","yes",16.8872122607386,13
"Damage Over Time","yes",16.8872122607386,13
"Finishing Move","yes",16.8872122607386,13
"Grapple Move","yes",16.8872122607386,13
"Institutional Apparel","yes",16.8872122607386,13
"Razor Wings","yes",16.8872122607386,13
"Peace Conference","ship",16.8871658145958,25
"Screaming Warrior","ship",16.8871658145958,25
"Significant White Hair, Dark Skin","ship",16.8871658145958,25
"Telescoping Staff","ship",16.8871658145958,25
"Tomboy","maybe",16.8694546769288,54
"Last Stand","bloody",16.8505886704497,96
"Princely Young Man","faith",16.8263650337142,55
"Theme Naming","o",16.8183181838231,187
"Dance Battler","hair",16.8173407610143,49
"Badass Creed","yyyyyyyaaaaaahhhhhh",16.8154306231954,1
"Band of Brothers","yyyyyyyaaaaaahhhhhh",16.8154306231954,1
"Barbarian Heroes","yyyyyyyaaaaaahhhhhh",16.8154306231954,1
"Bomb-Throwing Anarchists","yyyyyyyaaaaaahhhhhh",16.8154306231954,1
"Bullying the Dragon","yyyyyyyaaaaaahhhhhh",16.8154306231954,1
"Humanity Is Superior","yyyyyyyaaaaaahhhhhh",16.8154306231954,1
"The Revolution Will Not Be Civilized","yyyyyyyaaaaaahhhhhh",16.8154306231954,1
"Romanticism Versus Enlightenment","yyyyyyyaaaaaahhhhhh",16.8154306231954,1
"Curse Cut Short","machine",16.8093444510655,41
"Extreme Doormat","she",16.8004805003519,169
"Daddy Had a Good Reason for Abandoning You","way",16.7725106910526,144
"Post-Mortem Conversion","way",16.7725106910526,144
"Ragtag Bunch of Misfits","way",16.7725106910526,144
"Young Love Versus Old Hate","way",16.7725106910526,144
"Beleaguered Assistant","Melphie",16.74875717139,1
"Draw Aggro","Melphie",16.74875717139,1
"Sacrificial Revival Spell","Melphie",16.74875717139,1
"Ambiguous Gender","goodly",16.7426006319394,368
"Ambiguous Gender","gobbietreat",16.7426006319394,368
"God Is Good","king",16.7390130011411,22
"Literally Shattered Lives","king",16.7390130011411,22
"Most Common Superpower","king",16.7390130011411,22
"Psychopomp","king",16.7390130011411,22
"Snow Means Death","king",16.7390130011411,22
"Magic Dance","hair",16.7369752749159,50
"Despair Event Horizon","armor",16.7228867832563,340
"The Medic","kupo",16.7219902055319,407
